"time","cases"
1,2
2,1
3,2
4,0
5,1
6,7
7,6
8,2
9,0
10,2
11,0
12,0
13,0
14,1
15,1
16,0
17,0
18,3
19,2
20,1
21,3
22,0
23,4
24,1
25,2
26,4
27,1
28,4
29,2
30,5
31,1
32,1
33,5
34,14
35,7
36,10
37,9
38,11
39,15
40,12
41,19
42,19
43,19
44,7
45,12
46,24
47,7
48,27
49,17
50,22
51,8
52,8
53,6
54,7
55,8
56,7
57,10
58,11
59,11
60,16
61,30
62,20
63,35
64,16
65,14
66,33
67,31
68,27
69,28
70,36
71,38
72,54
73,55
74,46
75,52
76,29
77,50
78,46
79,40
80,47
81,44
82,47
83,61
84,46
85,42
86,39
87,65
88,63
89,60
90,49
91,49
92,45
93,75
94,50
95,36
96,55
97,48
98,47
99,49
100,51
101,50
102,53
103,48
104,52
105,60
106,50
107,44
108,61
109,58
110,54
111,36
112,37
113,32
114,43
115,42
116,46
117,51
118,57
119,46
120,56
121,15
122,9
123,20
124,18
125,21
126,13
127,18
128,18
129,14
130,16
131,37
132,33
133,34
134,36
135,39
136,35
137,38
138,53
139,35
140,38
141,40
142,43
143,45
144,39
145,52
146,61
147,42
148,69
149,50
150,64
